Earlier Prediction      ActiveLearner prediction     Correct Value
atis_flight    atis_flight    atis_flight#atis_airfare
atis_flight    atis_flight    atis_day_name
atis_flight    atis_flight    atis_day_name
atis_aircraft    atis_flight    atis_meal
atis_ground_service    atis_flight    atis_meal
atis_ground_service    atis_flight    atis_flight
atis_flight_no    atis_flight    atis_flight_time
atis_flight    atis_flight    atis_city
atis_aircraft    atis_flight    atis_flight
atis_airfare    atis_flight    atis_ground_fare
atis_ground_service    atis_flight    atis_ground_fare
atis_ground_service    atis_flight    atis_meal
atis_airport    atis_flight    atis_distance
atis_airport    atis_flight    atis_distance
atis_airport    atis_flight    atis_distance
atis_airport    atis_flight    atis_distance
atis_ground_service    atis_flight    atis_ground_fare
atis_ground_service    atis_flight    atis_ground_fare
atis_ground_service    atis_flight    atis_ground_fare
atis_ground_service    atis_flight    atis_ground_fare
atis_airfare    atis_flight    atis_flight#atis_airfare
atis_airfare    atis_flight    atis_flight#atis_airfare
atis_flight    atis_flight    atis_flight#atis_airfare
atis_flight    atis_flight    atis_flight#atis_airfare
atis_flight    atis_flight    atis_distance
atis_airfare    atis_flight    atis_airfare#atis_flight
atis_flight_no    atis_flight    atis_distance
atis_flight_no    atis_flight    atis_distance
atis_flight_no    atis_flight    atis_distance
atis_flight_no    atis_flight    atis_distance
atis_airport    atis_flight    atis_ground_fare
atis_aircraft    atis_flight    atis_capacity
atis_aircraft    atis_flight    atis_capacity
atis_flight    atis_flight    atis_meal
atis_quantity    atis_flight    atis_capacity
atis_aircraft    atis_flight    atis_capacity
atis_aircraft    atis_flight    atis_capacity
atis_flight    atis_flight    atis_flight#atis_airfare
atis_airfare    atis_flight    atis_flight#atis_airfare
atis_airfare    atis_flight    atis_flight#atis_airfare
atis_flight    atis_flight    atis_flight#atis_airline
atis_flight    atis_flight    atis_flight#atis_airfare
atis_flight    atis_flight    atis_flight#atis_airfare
atis_flight_no    atis_flight    atis_flight_no#atis_airline
atis_ground_service    atis_flight    atis_flight
atis_ground_service    atis_flight    atis_flight
atis_ground_service    atis_flight    atis_flight
atis_ground_service    atis_flight    atis_flight
atis_ground_service    atis_flight    atis_flight
atis_airfare    atis_flight    atis_flight#atis_airfare
atis_airport    atis_flight    atis_distance
atis_abbreviation    atis_flight    atis_city
atis_abbreviation    atis_flight    atis_city
atis_airfare    atis_flight    atis_flight#atis_airfare
atis_flight_no    atis_flight    atis_capacity
atis_airfare    atis_flight    atis_flight
atis_quantity    atis_flight    atis_airfare
atis_quantity    atis_flight    atis_flight
atis_quantity    atis_flight    atis_flight
atis_quantity    atis_flight    atis_flight
atis_flight_no    atis_flight    atis_city
atis_airport    atis_flight    atis_city
