Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    GetWeather    SearchScreeningEvent
AddToPlaylist    PlayMusic    PlayMusic
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    BookRestaurant    GetWeather
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    BookRestaurant    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
BookRestaurant    PlayMusic    GetWeather
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    PlayMusic    GetWeather
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
BookRestaurant    BookRestaurant    GetWeather
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    BookRestaurant    AddToPlaylist
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
RateBook    RateBook    SearchCreativeWork
AddToPlaylist    RateBook    RateBook
GetWeather    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    GetWeather
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchScreeningEvent    GetWeather    SearchCreativeWork
AddToPlaylist    PlayMusic    PlayMusic
AddToPlaylist    BookRestaurant    PlayMusic
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    BookRestaurant    GetWeather
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
PlayMusic    GetWeather    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
RateBook    RateBook    AddToPlaylist
PlayMusic    PlayMusic    AddToPlaylist
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    BookRestaurant
RateBook    PlayMusic    AddToPlaylist
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    BookRestaurant    GetWeather
AddToPlaylist    PlayMusic    PlayMusic
BookRestaurant    PlayMusic    GetWeather
SearchCreativeWork    RateBook    PlayMusic
BookRestaurant    PlayMusic    GetWeather
AddToPlaylist    SearchCreativeWork    PlayMusic
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    PlayMusic    PlayMusic
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    PlayMusic    PlayMusic
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    RateBook    GetWeather
PlayMusic    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
AddToPlaylist    PlayMusic    PlayMusic
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    BookRestaurant    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
AddToPlaylist    PlayMusic    PlayMusic
SearchCreativeWork    PlayMusic    PlayMusic
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    PlayMusic    SearchCreativeWork
GetWeather    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
AddToPlaylist    PlayMusic    PlayMusic
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    GetWeather    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
BookRestaurant    PlayMusic    GetWeather
AddToPlaylist    PlayMusic    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
AddToPlaylist    BookRestaurant    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
AddToPlaylist    BookRestaurant    PlayMusic
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    GetWeather    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
SearchScreeningEvent    GetWeather    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    AddToPlaylist
PlayMusic    PlayMusic    SearchCreativeWork
GetWeather    PlayMusic    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
BookRestaurant    PlayMusic    SearchCreativeWork
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    PlayMusic    SearchCreativeWork
BookRestaurant    PlayMusic    GetWeather
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
AddToPlaylist    BookRestaurant    PlayMusic
SearchScreeningEvent    PlayMusic    PlayMusic
PlayMusic    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
AddToPlaylist    BookRestaurant    PlayMusic
SearchCreativeWork    PlayMusic    PlayMusic
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
AddToPlaylist    BookRestaurant    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
